regularizer,bias,mean_reward,std_reward
0.0,0.0,972.2324,88.54409
0.0,0.10000000149011612,964.9336,93.56041
0.0,0.20000000298023224,918.1963,123.226585
0.0,0.30000001192092896,826.5801,183.24046
0.0,0.4000000059604645,730.0674,226.98256
0.0,0.5,611.9531,231.33524
0.0,1.0,271.83887,37.524136
1.0,0.0,1000.0,0.0
1.0,0.10000000149011612,998.05176,17.808832
1.0,0.20000000298023224,961.3447,107.45649
1.0,0.30000001192092896,913.33887,183.82053
1.0,0.4000000059604645,817.87305,240.92998
1.0,0.5,671.9404,259.81308
1.0,1.0,263.39355,84.10577
10.0,0.0,662.17773,303.86118
10.0,0.10000000149011612,769.80176,261.2767
10.0,0.20000000298023224,877.8867,194.61095
10.0,0.30000001192092896,973.6201,83.81375
10.0,0.4000000059604645,999.66113,7.173451
10.0,0.5,981.5498,73.5807
10.0,1.0,693.292,236.9948
20.0,0.0,956.14355,124.64844
20.0,0.10000000149011612,984.05176,77.76275
20.0,0.20000000298023224,967.41895,125.54581
20.0,0.30000001192092896,974.60254,112.55366
20.0,0.4000000059604645,948.0322,179.72127
20.0,0.5,895.1094,261.26514
20.0,1.0,445.95508,344.87265
30.0,0.0,998.13477,22.733624
30.0,0.10000000149011612,998.876,12.767652
30.0,0.20000000298023224,999.73535,4.6084247
30.0,0.30000001192092896,999.4922,5.782849
30.0,0.4000000059604645,994.75195,23.51996
30.0,0.5,980.0996,51.40736
30.0,1.0,953.2383,119.01467
40.0,0.0,838.18555,170.68628
40.0,0.10000000149011612,750.29297,216.79681
40.0,0.20000000298023224,689.34863,223.27676
40.0,0.30000001192092896,650.56934,216.05287
40.0,0.4000000059604645,640.6455,210.22842
40.0,0.5,627.69727,216.23338
40.0,1.0,258.9453,61.04528
50.0,0.0,954.916,103.66541
50.0,0.10000000149011612,934.3086,150.8147
50.0,0.20000000298023224,920.97656,160.73984
50.0,0.30000001192092896,857.64844,185.2868
50.0,0.4000000059604645,706.11426,186.86926
50.0,0.5,533.19727,123.50611
50.0,1.0,235.09668,26.875208
100.0,0.0,232.35449,92.091286
100.0,0.10000000149011612,251.9668,114.5253
100.0,0.20000000298023224,279.00977,130.25296
100.0,0.30000001192092896,282.15527,119.303535
100.0,0.4000000059604645,265.21484,115.34119
100.0,0.5,264.98242,113.26079
100.0,1.0,345.03125,186.50693
