regularizer,bias,mean_reward,std_reward
0,0.0,1000.0,0.0
0,0.05,999.9883,0.37481686
0,0.1,999.94727,1.4581237
0,0.15,998.42285,16.662022
0,0.2,996.9199,27.66127
0,0.25,992.084,46.216194
0,0.3,982.4043,73.1762
0,0.35,973.78125,94.305176
0,0.4,961.28906,115.84465
0,0.45,948.09863,135.18027
0,0.5,932.6289,152.87895
0,0.55,915.46387,170.08958
0,0.6,895.791,186.15068
0,0.65,876.08496,200.42047
0,0.7,853.89453,213.80336
0,0.75,834.01855,225.66266
0,0.8,814.25586,234.88652
0,0.85,795.0215,244.0315
0,0.9,776.84375,250.70918
0,0.95,757.7539,254.70732
0,1.0,739.0908,259.1055
1,0.0,1000.0,0.0
1,0.05,1000.0,0.0
1,0.1,999.90137,2.261049
1,0.15,999.7637,4.4375887
1,0.2,998.4912,14.2557535
1,0.25,994.42773,38.006405
1,0.3,987.9404,62.031162
1,0.35,979.5537,85.94906
1,0.4,968.6875,106.68603
1,0.45,956.5215,125.807884
1,0.5,937.5869,148.6075
1,0.55,913.6836,173.15936
1,0.6,886.8799,195.9265
1,0.65,859.7959,215.33398
1,0.7,834.2178,229.68098
1,0.75,807.11035,242.85893
1,0.8,781.5303,253.31993
1,0.85,755.49316,262.5907
1,0.9,733.0293,270.49686
1,0.95,710.73926,274.9048
1,1.0,687.6904,278.28238
5,0.0,1000.0,0.0
5,0.05,1000.0,0.0
5,0.1,1000.0,0.0
5,0.15,1000.0,0.0
5,0.2,1000.0,0.0
5,0.25,998.99805,14.932465
5,0.3,997.2246,32.463356
5,0.35,995.35645,43.895638
5,0.4,992.0283,58.696575
5,0.45,988.2334,73.34896
5,0.5,982.95996,89.16664
5,0.55,975.79785,104.60693
5,0.6,967.14453,121.80456
5,0.65,955.28613,137.25679
5,0.7,940.2744,155.23846
5,0.75,921.71387,173.43057
5,0.8,901.2373,194.65997
5,0.85,881.03906,212.53436
5,0.9,863.46484,226.23688
5,0.95,847.2783,237.91414
5,1.0,830.79004,246.94598
10,0.0,1000.0,0.0
10,0.05,1000.0,0.0
10,0.1,999.9248,2.4050748
10,0.15,999.3633,11.987986
10,0.2,997.45996,36.292355
10,0.25,995.98047,44.320454
10,0.3,990.6377,69.36265
10,0.35,985.8125,83.48385
10,0.4,980.2031,99.7255
10,0.45,970.31445,121.16796
10,0.5,960.53125,138.8617
10,0.55,943.43945,161.77776
10,0.6,922.5381,186.58919
10,0.65,903.50684,204.98993
10,0.7,884.89453,220.19183
10,0.75,863.6963,237.94243
10,0.8,845.1299,250.81711
10,0.85,824.91797,263.9757
10,0.9,807.32715,272.90033
10,0.95,789.3955,280.12662
10,1.0,769.19727,287.7349
15,0.0,1000.0,0.0
15,0.05,1000.0,0.0
15,0.1,1000.0,0.0
15,0.15,1000.0,0.0
15,0.2,999.8447,3.535577
15,0.25,999.124,12.429379
15,0.3,996.90625,24.918245
15,0.35,990.9541,47.095467
15,0.4,980.83105,74.11193
15,0.45,965.77734,103.69808
15,0.5,946.5674,131.34616
15,0.55,925.74023,155.99307
15,0.6,902.126,178.32487
15,0.65,878.74805,197.20764
15,0.7,854.8408,213.79134
15,0.75,829.5791,228.52252
15,0.8,804.33203,238.84753
15,0.85,780.7676,247.56837
15,0.9,757.9541,253.96338
15,0.95,735.21875,257.31943
15,1.0,712.6748,259.62262
20,0.0,1000.0,0.0
20,0.05,1000.0,0.0
20,0.1,1000.0,0.0
20,0.15,1000.0,0.0
20,0.2,1000.0,0.0
20,0.25,1000.0,0.0
20,0.3,999.8428,2.9728076
20,0.35,998.57324,14.1675415
20,0.4,995.6787,31.137598
20,0.45,991.4404,48.35035
20,0.5,986.73535,63.17743
20,0.55,979.1924,79.55483
20,0.6,971.97656,93.81071
20,0.65,963.3457,107.415054
20,0.7,953.21484,121.32866
20,0.75,942.16504,136.52882
20,0.8,928.0537,149.87228
20,0.85,911.23926,164.9665
20,0.9,894.9004,178.25282
20,0.95,876.6621,192.59804
20,1.0,858.7637,205.18466
25,0.0,1000.0,0.0
25,0.05,1000.0,0.0
25,0.1,1000.0,0.0
25,0.15,1000.0,0.0
25,0.2,1000.0,0.0
25,0.25,1000.0,0.0
25,0.3,999.9824,0.5622252
25,0.35,999.6113,7.9332733
25,0.4,998.52246,23.87139
25,0.45,997.7783,31.44425
25,0.5,997.06055,35.907433
25,0.55,995.0713,42.181755
25,0.6,991.31445,55.21947
25,0.65,984.38184,75.92658
25,0.7,979.8867,88.40703
25,0.75,974.48535,100.80367
25,0.8,967.7842,114.60263
25,0.85,959.03125,130.35281
25,0.9,949.71875,143.8762
25,0.95,941.45605,156.12505
25,1.0,932.3545,167.93327
